#================================================================================================
#velocity        residual norm
  0.5             0.0417954       
1               0.0778019       
1.5             0.108571        
2               nan             
2.5             nan             
3               nan             
3.5             nan             
4               nan             
4.5             nan             
5               nan             
5.5             nan             
6               nan             
6.5             nan             
7               nan             
7.5             nan             
8               nan             
8.5             nan             
9               nan             
9.5             nan             
10              nan             
